"동별(1)",동별(2),동별(3),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",강서구,가양1동,20897,34373,15552,18821,34094,15424,18670,279,128,151
"합계",강서구,가양2동,8064,13764,6465,7299,13673,6440,7233,91,25,66
"합계",강서구,가양3동,7786,14546,6731,7815,14455,6694,7761,91,37,54
"합계",강서구,발산1동,13528,36229,17094,19135,35922,16897,19025,307,197,110
"합계",강서구,공항동,13924,30682,15547,15135,30154,15269,14885,528,278,250
"합계",강서구,방화1동,17334,42726,20801,21925,42484,20688,21796,242,113,129
"합계",강서구,방화2동,12113,23185,11456,11729,22929,11331,11598,256,125,131
"합계",강서구,방화3동,11260,22420,10778,11642,22294,10734,11560,126,44,82
"합계",강서구,화곡1동,28462,52708,25546,27162,51765,25160,26605,943,386,557
"합계",강서구,우장산동,16667,43898,20974,22924,43687,20883,22804,211,91,120
"합계",구로구,소계,184388,417953,206176,211777,395099,193938,201161,22854,12238,10616
"합계",구로구,신도림동,13964,36062,17387,18675,35749,17248,18501,313,139,174
"합계",구로구,구로1동,8338,20785,10151,10634,20585,10052,10533,200,99,101
"합계",구로구,구로3동,13664,25030,12897,12133,23397,12074,11323,1633,823,810
"합계",구로구,구로4동,10507,22952,11317,11635,19080,9206,9874,3872,2111,1761
"합계",구로구,구로5동,15697,31862,15495,16367,29360,14213,15147,2502,1282,1220
"합계",구로구,고척1동,11419,26283,13124,13159,25962,12963,12999,321,161,160
"합계",구로구,고척2동,11464,26479,13072,13407,26029,12855,13174,450,217,233
"합계",구로구,개봉2동,12466,30543,14827,15716,30131,14644,15487,412,183,229
"합계",구로구,개봉3동,8762,20234,9818,10416,19855,9631,10224,379,187,192
"합계",구로구,오류1동,12615,23251,11081,12170,22633,10792,11841,618,289,329
"합계",구로구,수궁동,9946,23210,11385,11825,22915,11241,11674,295,144,151
"합계",구로구,가리봉동,6169,12702,7141,5561,8961,4912,4049,3741,2229,1512
"합계",구로구,구로2동,12328,29522,15154,14368,22916,11512,11404,6606,3642,2964
"합계",구로구,개봉1동,14967,34158,16961,17197,33373,16580,16793,785,381,404
"합계",구로구,오류2동,15806,38330,18327,20003,37745,18037,19708,585,290,295
"합계",구로구,항동,6276,16550,8039,8511,16408,7978,8430,142,61,81
"합계",금천구,소계,120274,242553,122583,119970,229328,115578,113750,13225,7005,6220
"합계",금천구,가산동,17786,26821,14521,12300,24472,13179,11293,2349,1342,1007
"합계",금천구,독산1동,24814,47949,24509,23440,46237,23615,22622,1712,894,818
"합계",금천구,독산2동,9440,19390,9802,9588,18060,9109,8951,1330,693,637
"합계",금천구,독산3동,12911,27136,13765,13371,23935,11992,11943,3201,1773,1428
